# slice: every 1995-* dir that is not 1995-a* / 1995-b*  => 29 dirs, all 1995-c*
1995-c-cass__cass	1000:386	26.68	DOT3	r0 = (movsx L16[r1] imul#0x109d sub movsx L16[r2] imul#0xfe9) sar#8; S16[r3] = r0; r4 = (movsx L16[r1] imul#0xfe9 add movsx L16[r2] imul#0x109d) sar#8; S16[r3+2] = r4; r5 = imul(imul(r6 shl#1 add 0x80, r7), r8) sar#7 sar#7; r9 = imul(L32[r10],0xbd0) sar#7; r11 += 6; loop
1995-c-cass__cass	1000:a7f	19.04	MEMFILL	S16[r0+0x1c35] = 0; S16[r0+0x1aa5] = 0x140; r0 += 2; cmp r0,0x190; loop
1995-c-cass__cass	1000:2bc	14.27	ADDR_SCALE	r0 = L16[r1] add i; r2 = (r3 xor r3) add r0 and#0xf; r4 = L32[r5] add r2; out16(plane_sel); S8[r4] = r6 shl#2; r1 += i; cmp+jl loop
1995-c-catwalk__CATWALK	3fb0:1a46	24.11	MEMCOPY	S8[r0] = L8[r1]; r2 += 0x140; cmp r2,0xed80; loop
1995-c-catwalk__CATWALK	1acb0:7f	11.16	REFILL	r0 = r0 shl#1; r1 -= 1; jz -> reload r0 = L16[src], r1 = 16; loop
1995-c-catwalk__CATWALK	1acb0:f8	9.28	COPY_BACK	r0 = L8[src++]; r1 = dst - r0 - i; rep movsb(r1 -> dst, len); jmp bit-loop
1995-c-cda_tp5i__INTRO	4352d:37ad	77.34	IO_POLL	r0 = in8(0x60); cmp r0,0x0b; jz; cmp r0,2; jl; loop
1995-c-cda_tp5i__INTRO	75910:a	5.15	REFILL	r0 = -r1; r0 += 0x10; r2 = r2 shr cl; r3 = L16[src++] shl cl; r4 -= r5; jle
1995-c-cda_tp5i__INTRO	75910:92	5.14	STRSEARCH	r0 -= 1; r1 = L8[r2]; cmp r1,L8[r3]; jz; loop
1995-c-cdz_cdz__CONDENZ	133e0:d28	27.03	GETBITS	r0 = r0 shl#1 (carry); r1 = r1 shl#1 (carry out = code bit); cmp r2,r3; jnz; jb; loop
1995-c-cdz_cdz__CONDENZ	aae0:2f	4.43	ADDR_SCALE	r0 = imul(L16[r1+6], 0x140); les r2:r3 = L32[r4]; r3 += r0 + r5; r6 = L8[r3]; S8[r7-1] = r6
1995-c-cdz_cdz__CONDENZ	12dc0:2c6	2.87	COUNTER	r0 -= 1; r1 = sbb(r1,0); jb; loop
1995-c-cdz_frog__FROGFUZZ	46e70:2724	20.79	IO_POLL	out8(0x43,i); out16(port,r0); out8(0x44,i); out8(port,L8[r1]); r1 += 1; r2 = add(r2,1) adc(r3,0); loop
1995-c-cdz_frog__FROGFUZZ	49710:1b7	13.07	GETBITS	r0 = 1 shl cl; r0 -= 1; r1 = r2 and r0; r3 = r3 shr cl; r4 = (r4 shl cl) or r1; S16[r5] = r4
1995-c-cdz_frog__FROGFUZZ	1100:a83	9.07	FIXPT_MUL	r0 = L16[r1] shl#2; r2 = imul(L32[r3], r0) add 0x8000 shr#0x10; r4 = imul(L32[r5], r0) add 0x8000 shr#0x10; cmp+jz
1995-c-cenflash__CEN!FB	18c30:2c6	84.87	IO_POLL	r0 -= 1; r1 = sbb(r1,0); jb exit; cmp L8[r2],r3; jz; loop
1995-c-cenflash__CEN!FB	19250:3de1	2.19	FIXPT_MUL	r0:r1:r2 = sum over i,j of mul(L16[r3+i], L16[r4+j]) with add/adc/adc carry cascade (3x3 partial products); r5 += 0xc
1995-c-cenflash__CEN!FB	19250:3ec7	0.72	GETBITS	r0 = r0 shl#1; r1 = r1 shl#1 (carry); r2 = r2 shl#1 (carry out); jae
1995-c-chrome__CHROME	1000:106	33.38	OTHER	S8[r0] = 0 sub L8[r0]; r0 += 1; cmp r0,0x1ad8; loop
1995-c-chrome__CHROME	94d80:65	19.80	REFILL	r0 = r0 shl#1; r1 -= 1; jz -> reload r0 = L16[src], r1 = 16; loop
1995-c-chrome__CHROME	94d80:d4	12.30	COPY_BACK	r0 = L8[src++]; r1 = dst - r0 - i; rep movsb(r1 -> dst, len); jmp bit-loop
1995-c-clash__CLASH	d350:145	75.84	IO_POLL	call; test L8[0x202] and#0x10; jz; test L8[0x202] and#0x20; jz; ret; cmp L32[0x204],0x64; jb; loop
1995-c-clash__CLASH	487e0:80	7.89	REFILL	r0 = r0 shl#1; r1 -= 1; jz -> reload r0 = L16[src], r1 = 16; loop
1995-c-clash__CLASH	487e0:7c	6.09	MEMCOPY	r0 = L8[src++]; r0 = r0 xor r1; S8[dst++] = r0; jmp bit-loop
1995-c-clx_dope__DOPE	10464d:4484	30.19	IO_POLL	out16(port,r0); out8(port+3, L8[r1]); r1 += 1; loopnz
1995-c-clx_dope__DOPE	10464d:2fb7	21.96	STRSEARCH	r0 += 2; r1 -= 1; jnz; cmp L16[r0],r2; jz; loop
1995-c-clx_dope__DOPE	10464d:2fd6	11.84	NIBBLE_PACK	S8[r0] = r1; r2 = (L8[r3] and#0xf0) or (L8[r4] shl#4); S8[r0+1] = r2; r5 = L8[r3+2] and#0x0f; cmp r5,0xc; jnz
1995-c-clx_dope__WHATSNEW	1000:35c	47.59	BYTE_PACK	r0 = r1 and r2; r0 = r0 shr cl; r3 = r3 or r0; r3 = r3 shl#1; r3 = r3 or r0; r4 = r4 shl#1; r5 -= 1; jnz
1995-c-clx_dope__WHATSNEW	1000:38a	16.71	MEMCOPY	r0 += 1; r1 += 1; r2 = L8[r0]; S8[r1+0x1740] = r2; loop
1995-c-clx_dope__WHATSNEW	1000:3c8	16.39	ADDR_SCALE	r0 += 1; r1 = imul(L16[r2+0x1784] add r0, 0x50) add L16[r2+0x1782]; r3 = L8[r1+0x1740]; S8[r4] = r3; loop
1995-c-cma_brw__BRW	8064d:7b1b	27.82	LUT_XLAT	r0 = L8[src++]; S8[d0] = L8[tab0 + r0] shr cl; S8[d1] = L8[tab1 + r0] shr cl; S8[d2] = L8[tab2 + r0] shr cl; r1 -= 1; jnz
1995-c-cma_brw__BRW	8064d:453a	23.59	TEXEL_FETCH	r0 = (movzx L8[r1] shl#0xc) add (movzx L8[r2] shl#6) add L32[r3]; S8[r4] = L8[r0]; (x3 unrolled at 0xa640 strides); r1 += 1; r2 += 1; r5 -= 1; jnz
1995-c-cma_brw__BRW	8064d:4604	10.02	FIXPT_STEP	r0 = add(r0, L8[step_lo]); r1 = adc(r1, L8[step_hi]); S8[dst++] = r1; loop
1995-c-cma_brw__DOWNADD	1000:41f	45.91	COUNTER	r0 += 0xc; r1 -= 1; jnz; cmp L16[r0+0x3153],r2; jle; loop
1995-c-cma_brw__DOWNADD	1000:3c8	18.95	PERSP_DIV	r0 = idiv(cwd(L16[0x3153]), L16[0x3151]) add L16[0x3157]; cmp r0,0xc7; ja; r1 = idiv(cwd(L16[0x314f]), r2) add L16[0x3155]; cmp r1,0x13f; ja
1995-c-cma_brw__DOWNADD	1000:3ef	10.75	ADDR_SCALE	r0 = imul(r1,0x140) add r2; S16[r3+0x3159] = r0; r4 = not(L16[0x3153] shr#3); cmp+jnz
1995-c-cma_stik__UKKO	5e7f0:17c1	20.11	IO_POLL	out8(0x43,i); out16(port,r0); out8(port+4, L8[r1] add 0x80); r1 += 1; r2 += 1; jb
1995-c-cma_stik__UKKO	77f00:7f	19.43	REFILL	r0 = r0 shl#1; r1 -= 1; jz -> reload r0 = L16[src], r1 = 16; loop
1995-c-cma_stik__UKKO	77f00:f8	14.79	COPY_BACK	r0 = L8[src++]; r1 = dst - r0 - i; rep movsb(r1 -> dst, len); jmp bit-loop
1995-c-cna_ply__POLLY	1100:415	42.75	CMP_SKIP	r0 = L8[src++]; cmp r0,0; jz skip; S8[dst] = r0; dst += 1; loop
1995-c-cna_ply__POLLY	42710:23d0	29.59	IO_POLL	out8(0x43,i); out16(port,r0); out8(0x44,i); out8(port,L8[r1]); r1 += 1; add/adc 32-bit phase; loop
1995-c-cna_ply__POLLY	4f340:240	6.03	STRSEARCH	cmp r0,L8[r1]; jnz; r1 += 1; loop
1995-c-cna_quar__QUARTZ	1100:46e	59.46	ADDR_SCALE	r0 = imul(L16[0x3fe],0x140); r1 = imul(L16[r2] add r3, 0x140) add 0x1e add r4; rep movsd(9 dwords, r0 -> r1); S16[0x3fe] += 1; cmp+jz
1995-c-cna_quar__QUARTZ	1100:417	31.06	MEMFILL	r0 = 0xe100 add r1; S8[r0] = 0; loop
1995-c-cna_quar__QUARTZ	61db0:23d0	5.90	IO_POLL	out8(0x43,i); out16(port,r0); out8(0x44,i); out8(port,L8[r1]); r1 += 1; add/adc phase; loop
1995-c-cocaholc__COCAHOLC	1bc00:7f	2.16	REFILL	r0 = r0 shl#1; r1 -= 1; jz -> reload r0 = L16[src], r1 = 16; loop
